SRNO QUESTION OPTION1 OPTION2 OPTION3 OPTION4 CORRECTANSWER
1 where_is_india? north south east west 2
2 what_is_capital_of_india? delhi mumbai chennai kolkata 1
3 which_is_the_largest_continent? asia africa europe australia 1
4 who_is_the_father_of_computer? charles_babbage alan_turing john_von_neumann bill_gates 1
5 which_is_the_longest_river_in_the_world? nile amazon yangtze mississippi 1
6 what_is_the_currency_of_japan? yen yuan won dollar 1
7 who_wrote_hamlet? shakespeare dickens austen hemingway 1
8 what_is_the_chemical_symbol_for_water? H2O CO2 NaCl O2 1
9 which_planet_is_known_as_the_red_planet? mars venus jupiter saturn 1
10 what_is_the_speed_of_light? 300000_km/s 150000_km/s 450000_km/s 600000_km/s 1
11 which_element_has_the_chemical_symbol_Au? gold silver platinum aluminum 1
12 who_painted_the_mona_lisa? da_vinci picasso van_gogh michelangelo 1
13 what_is_the_largest_mammal? elephant whale shark giraffe 2
